title,journal,year
"Condiciones de tonelacion en espacios localmente convexos,""Universitat de Valencia, Facultat de Ciencies"",1977.0", , 
Shrinking and boundedly complete Schauder frames in Frechet spaces,Journal of Mathematical Analysis and Applications,
Frames and representing systems in Frechet spaces and their duals,Banach Journal Of Mathematical Analysis,
Document downloaded from,,
Research Article Uniform Convergence and Spectra of Operators in a Class of Frechet Spaces,,
Ergodic theory for operators and applications to generalized Cesaro operators,,
Frechet spaces,,
Ranges of vector measures in Frkhet spaces,,
Progress in functional analysis:[selected papers],Conferencia,
Mathematical Proceedings of the Cambridge Philosophical Society,,
Sobre el espado & (Q E),,
Linear topological properties of the space of analytic functions on the real line,,
Cesaro and Volterra integral operators on Korenblum-type spaces of analytic functions,,
The Cesaro operator on weighted Banach spaces of analytic functions,,
Integral operators on weighted Banach spaces of entire functions,,
The Cesaro operator on weighted c0 spaces,,
Some questions about spaces of Dirichlet series.,,
Largest solid extensions of lp spaces and operators between them,,
Aspectos del analisis matematico para el siglo XXI,,
Rearrangement of series. The theorem of Levy-Steiniz.,,
The Frechet spaces ces (p),,
The Bounded Approximation Property in Frechet Spaces Seminar delivered at the IUMPA UPV Valencia,,
The Cesaro operator on sequence and function spaces,,
The Cesaro operator on power series spaces,,
Locally splitting exact sequences and applications,,
Mean ergodic semigroups on Frechet spaces,,
Seminari d Analisi UAB-UB Curs 2012 2013,,
Recent progress in functional analysis,North-Holland Mathematics Studies,
Convergence of arithmetic means of operators on Frechet spaces,,
Parameter dependence of solutions of differential equations on spaces of distributions,,
Weighted (LB)-spaces of holomorphic functions,,
The Canonical Spectral Mesure and Kothe spaces,,
Interpolating sequences for weighted spaces of entire functions,,
